dataset,model,MAE_mean,MAE_median,MAE_std,MAE_iqr,RMSE_mean,RMSE_median,RMSE_std,RMSE_iqr,MdAE_mean,MdAE_median,MdAE_std,MdAE_iqr,MASE_mean,MASE_median,MASE_std,MASE_iqr,MdASE_mean,MdASE_median,MdASE_std,MdASE_iqr
China,DummyMean,3700.583230466317,3646.6066416040107,394.32070113727383,537.9916762075636,6362.262567377881,6367.817542501889,1276.8136534744572,1736.1505643974542,2794.5115214285715,2806.374260651629,215.2463513238409,310.3558395989976,1.1972403836869554,1.1723679609550433,0.1777810467373926,0.25358603941417135,2.12582487901254,2.134091146104912,0.13987539184436884,0.18931649743288714
China,DummyMedian,3118.7820707070705,3126.26,519.1419765048777,610.163106060606,6659.166163160298,6795.512682223742,1376.9528488865674,1849.8338823025833,1323.27,1345.5,93.9194297561175,117.625,1.0118091122446755,1.0064194225107732,0.21241480954494205,0.24525581915382266,1.0093004493795867,1.021271867339514,0.0934557026121115,0.1279975022540456
China,ElasticNet,7435.452419972315,3002.5363079012736,22596.19672823516,644.207075550135,50262.410406292845,6299.836251044153,222943.10268315527,1828.592815992377,1196.6077661843672,1223.7511503099258,91.29255167144835,97.66079309103407,2.4298380452143062,0.9613000390260684,7.463508811830067,0.24669684201605246,0.9135420908388678,0.9307756686963755,0.09584968178253978,0.10257167834052672
China,GradientBoosting,2378.3012820083923,2347.263315921309,414.8404377718675,511.55077238245485,5043.250075754683,4944.861940013816,1250.50800400574,1861.3754476346185,911.4019863924003,917.5430717592322,157.7591639099436,190.17175961089345,0.7702778786372386,0.7412921863871891,0.16077131413995957,0.17988945529221345,0.6977851559780416,0.6906293220727495,0.14186094253115636,0.18053197267225451
China,RandomForest,2339.2923759168243,2281.788320225036,380.5986201739342,448.3575282174679,4962.050713137447,4847.824939552525,1104.3363118679943,1665.021252531551,863.5777326235598,866.0635707319695,152.8033450280914,207.3789576581005,0.7578751269616213,0.7430071710793198,0.15225671709160493,0.16862913936047175,0.6606334346596,0.6487686740727607,0.13475872904612143,0.20360497075680684
China,TabDPT,2301.810218771362,2241.7000347021853,389.38529967309836,385.7721337127682,4905.51787079118,4772.178938724657,1176.22051019921,1619.9616644644743,847.0593795776367,826.0379028320312,150.28859977108004,198.88801956176758,0.7457379833915891,0.7099131695071939,0.15344343094189866,0.14111184928693532,0.6493946499344729,0.6314791890823873,0.13963213670515734,0.17411260596785605
China,TabICLv2,2311.576485454336,2258.4104902479385,368.1164490268253,399.0175466156011,4942.4416262071345,4955.697605795972,1039.1545302158759,1496.677415347849,851.9673864746094,841.9845581054688,156.61614610622962,193.53543090820312,0.748957586853027,0.7267250152073763,0.14826297931280621,0.17762266940495697,0.6531954639442904,0.6300365632101315,0.14299764656815508,0.18637107707453582
China,TabPFN,2295.466190283265,2221.954572479556,374.40137508239184,353.2490156555177,4867.0478750206585,4807.183336970951,1074.4457190296018,1595.6210773133434,855.9405621337891,853.5921325683594,167.23205684143076,197.0684585571289,0.743591310257663,0.7138007532127176,0.14922216771593036,0.1585254126405098,0.6560112970463783,0.6518412759874734,0.1495980874866677,0.16314525113585954
NASA93,DummyMean,645.8301375143565,631.0439320373005,161.69885185185422,251.76750208102845,1019.5443842590923,798.115986176171,512.3926444571231,663.1722632601266,500.0137225225225,503.5743243243243,64.68190262750834,93.2257432432433,1.2534289872782178,1.1830748965931837,0.46279756017590434,0.5991359541266164,2.4091047608797624,2.4305551078601537,0.2641185081946106,0.25338246244726825
NASA93,DummyMedian,539.3644795321637,535.5100877192983,213.43253042038785,316.1035087719298,1044.7055660055228,898.5537441916686,567.1997613083012,761.7203527037752,213.058,214.1,33.53562279007753,37.375,1.0637007013252004,1.0009796797750226,0.5496878965008207,0.7260539807239633,1.0309501177977511,1.0,0.19091391465890178,0.15809881257424163
NASA93,ElasticNet,1232.9314812981806,487.99558001125774,2031.1117758168168,427.688230849953,4247.06814745368,913.4115922890503,8561.49806410826,1335.4138980783987,139.7743463151286,135.82695979088362,55.644439240869026,53.13314139519498,2.5441786339725416,0.9100461266901744,4.419863655102581,1.0046500160403733,0.6958406558134814,0.6459763752709409,0.32497212870554876,0.33190243605759095
NASA93,GradientBoosting,313.64672172569897,288.928036521432,152.3753731955055,188.15309075518928,653.9945442414318,569.4380355977569,365.88376195765386,374.0354615947293,84.13430822110817,75.07203537177499,52.944931316535964,49.506619542426506,0.6200570021581118,0.5295275933128962,0.3802645833747373,0.4150753326553469,0.4264247813664634,0.36733087848909873,0.3097475570308361,0.2813296989302781
NASA93,RandomForest,336.32484529277457,319.9633615855194,175.37819526313726,228.1043189047553,749.3760171103052,607.0141045980827,469.60662434727266,471.3384092792933,75.9143546292709,63.73932108096298,42.49174516596117,53.88773621603063,0.6703251799303296,0.5980200429314271,0.4313600667850739,0.5018937574630985,0.3807476748554243,0.32049520519470803,0.24167540715575483,0.30576025827629794
NASA93,TabDPT,313.5257744694425,312.87811143914166,143.08738523853307,206.7596319114953,646.3675561022519,587.2038770349,350.8027349388876,483.7178280176328,101.89828205871584,86.6446647644043,63.43036737190253,58.49546432495117,0.6180295602746874,0.5553139620939817,0.35223502389884626,0.4307282338415143,0.5138907686832304,0.4264932736012731,0.3712680711626471,0.3367465088048909
NASA93,TabICLv2,283.1803103976556,278.8354696842662,129.39122108486552,160.88388845906618,582.4330233377724,521.8993824949041,297.66975835416326,258.42772786367567,67.71603071594238,54.373939514160156,43.900292417745696,50.06389455795288,0.5588114410441409,0.5305679144627278,0.32134422787005407,0.3619435068147918,0.3409723908116159,0.2653783918947058,0.25752286033425925,0.2747782319145823
NASA93,TabPFN,267.63672252923845,264.48167967043423,131.70374232025983,162.15308853478464,562.833533614498,498.0268091760107,311.03723015946883,344.4332221718817,69.59862010955811,56.95288848876953,48.05351853458989,52.805658721923834,0.5289762684905746,0.4816129849366845,0.32508628444091137,0.3227367984096745,0.3545877322364565,0.2785396262189098,0.2759543775922933,0.2822132451134915
