dataset,category,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,MdAE_mean,MdAE_median,MdAE_std,MASE_mean,MASE_median,MASE_std,MdASE_mean,MdASE_median,MdASE_std
China,Tabular foundation,2302.41926046008,2233.1649348757965,374.80910896595657,4903.037000230465,4863.168938692059,1090.6142953164135,851.0187423706054,845.4599304199219,155.94596573101683,0.7459513918654065,0.7138007532127176,0.14945114303701978,0.6523421654466891,0.640095133427833,0.14219241188795043
China,Baseline,3409.682650586694,3430.108471177945,543.9026380310318,6510.71436526909,6626.590280263362,1329.502656550614,2058.8907607142855,1866.546365914787,757.5627524131802,1.1045247479658153,1.0925820919208662,0.21600599396559275,1.5675626641960634,1.4649271034029367,0.5734207617915136
China,Traditional,4051.0258051147034,2475.54060500492,13182.625173320246,20089.280498986827,5326.248387047748,129632.82117463359,990.5278190760359,984.5839024193534,200.90942398425736,1.3193335095954675,0.8029969425883854,4.353808636841231,0.7573192563291862,0.7688768686565925,0.16771336231747097
NASA93,Tabular foundation,287.89790282589274,281.6916372700741,135.92182265784405,596.8191067730518,529.9325689088296,322.4912786578682,79.27652944437662,67.71642112731934,53.86838055109351,0.568364204013569,0.5205009495256064,0.3342414783946812,0.4010306247108978,0.31746330892549957,0.3094501890287527
NASA93,Baseline,592.59730852326,583.7824561403509,195.83211814195656,1032.1249751323076,824.3735542717229,537.903289169599,356.53586126126123,342.1453333333333,153.03992371632577,1.1585648443017091,1.078175680101303,0.5144429218097569,1.7200274393387567,1.738271021021021,0.7295140506265769
NASA93,Traditional,627.6251029143965,334.57105313607235,1248.5768413516066,1883.472200944582,628.2926050236824,5199.542032830575,99.94121221324988,86.73571812158306,57.82610552430053,1.27816945523641,0.626361885659462,2.7092920079714604,0.5010053909617767,0.4287169775219801,0.3239552543497103
