dataset,fold,model,best_params,MAE,RMSE,MdAE,MASE,MdASE
NASA93,1,ElasticNet,"{""regressor__model__alpha"": 0.01, ""regressor__model__l1_ratio"": 0.9}",184.41738277905938,311.39805197740833,56.661208629056375,0.3049808438532986,0.23608836928773488
NASA93,1,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",176.00395360958112,309.2712520240831,33.6433569245781,0.29106710812437575,0.14018065385240874
NASA93,1,GradientBoosting,"{""regressor__model__learning_rate"": 0.03, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 200, ""regressor__model__subsample"": 0.7}",141.45289956202802,283.9360758946119,38.16273477194994,0.23392819062836087,0.15901139488312477
NASA93,1,DummyMean,{},517.995519203414,543.2481570320325,588.4743243243244,0.8566367669806408,2.4519763513513513
NASA93,1,DummyMedian,{},267.2421052631579,354.7182543935398,218.0,0.44195249682040655,0.9083333333333333
NASA93,1,TabPFN,{},108.1994239807129,220.7630462591965,16.937896728515625,0.1789351477220165,0.07057456970214844
NASA93,1,TabICLv2,{},148.28255862185833,286.7218086981433,25.95001220703125,0.24522276141073013,0.1081250508626302
NASA93,1,TabDPT,{},145.8767666866905,265.1731689874916,30.827880859375,0.24124417520878855,0.12844950358072918
NASA93,2,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.9}",334.96215711208987,600.6775664707013,163.4376973526352,0.5714140724893704,0.8192365782086978
NASA93,2,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",266.6085595107645,500.3654853232655,87.61747811840928,0.45480923595673856,0.4391853539769889
NASA93,2,GradientBoosting,"{""regressor__model__learning_rate"": 0.05, ""regressor__model__max_depth"": 4, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 0.7}",316.8744901830746,573.072745527096,125.92432305730077,0.5405582065287231,0.6311996143223096
NASA93,2,DummyMean,{},498.6793029871977,602.987260238919,477.485135135135,0.8507001920539949,2.393409198672356
NASA93,2,DummyMedian,{},335.1105263157895,598.9595237181154,169.5,0.5716671764568423,0.849624060150376
NASA93,2,TabPFN,{},284.0461035577875,562.0774740181339,71.03628540039062,0.48455605316148886,0.3560716060169956
NASA93,2,TabICLv2,{},312.0612573422884,573.6164647577979,95.70048522949219,0.5323472820377131,0.47970168034833177
NASA93,2,TabDPT,{},300.12929748735934,587.2329671861515,93.29092407226562,0.5119924758940354,0.4676236795602287
NASA93,3,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",783.4071701226433,1935.1840550178256,138.52603032896067,1.6982297868890932,0.5796068214600865
NASA93,3,RandomForest,"{""regressor__model__max_depth"": 16, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",541.0495874064911,1512.3212879889588,51.68106920975276,1.1728594791568143,0.21623878330440488
NASA93,3,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 3, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",427.5990749946634,1090.4461202638606,64.70116480874319,0.9269272910643378,0.27071617074787946
NASA93,3,DummyMean,{},942.6254623044098,1871.4965182952476,498.66486486486485,2.0433750149553065,2.086463869727468
NASA93,3,DummyMedian,{},825.6578947368421,1932.8452402175346,240.0,1.789818735514937,1.00418410041841
NASA93,3,TabPFN,{},383.01519037547865,1002.1635412690745,44.056129455566406,0.8302806381320281,0.18433526968856237
NASA93,3,TabICLv2,{},393.5590289266486,948.4283282397732,46.3294677734375,0.8531370292637854,0.1938471454955544
NASA93,3,TabDPT,{},449.769169405887,1108.877935653647,77.7088623046875,0.9749864819208488,0.3251416832832113
NASA93,4,ElasticNet,"{""regressor__model__alpha"": 0.1, ""regressor__model__l1_ratio"": 0.1}",8051.401633329715,32622.958796780327,202.05504382316784,18.388744925886193,1.2099104420548972
NASA93,4,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",587.6268747762473,1085.1159378734983,157.72677014199104,1.3420918746773902,0.9444716774969524
NASA93,4,GradientBoosting,"{""regressor__model__learning_rate"": 0.03, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",523.1139802905046,833.9428256378969,258.1188028055637,1.194749683198821,1.5456215736860102
NASA93,4,DummyMean,{},876.6111111111111,1465.750175688431,437.1,2.002108310519525,2.617365269461078
NASA93,4,DummyMedian,{},946.0555555555555,1602.128813658738,343.0,2.16071376005051,2.053892215568862
NASA93,4,TabPFN,{},485.9801760355632,822.1982762354304,189.6063232421875,1.1099391016790527,1.135367205043039
NASA93,4,TabICLv2,{},589.9935689237383,1063.1972061991137,259.76934814453125,1.3474972111613686,1.555505078709768
NASA93,4,TabDPT,{},504.4426493962606,888.1432885403163,305.0365447998047,1.152105885649365,1.8265661365257766
NASA93,5,ElasticNet,"{""regressor__model__alpha"": 0.01, ""regressor__model__l1_ratio"": 0.9}",161.611238320247,242.24952147856746,113.80237945467947,0.27950299139685336,0.5927207263264556
NASA93,5,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",87.87864315686585,129.03767043742954,34.39806322997289,0.15198413116276085,0.17915657932277548
NASA93,5,GradientBoosting,"{""regressor__model__learning_rate"": 0.05, ""regressor__model__max_depth"": 4, ""regressor__model__n_estimators"": 200, ""regressor__model__subsample"": 0.7}",98.72072336661637,137.0130833945884,49.34560028899962,0.17073526433324557,0.2570083348385397
NASA93,5,DummyMean,{},449.6933333333334,538.662446858059,511.288,0.7777344767869538,2.6629583333333335
NASA93,5,DummyMedian,{},354.3666666666667,545.2702316792615,198.0,0.612869156960455,1.03125
NASA93,5,TabPFN,{},94.25028601752386,180.0792373180734,31.18582534790039,0.16300374377248122,0.1624261736869812
NASA93,5,TabICLv2,{},77.25242828792994,134.7149184410341,20.200145721435547,0.1336063322301899,0.10520909229914348
NASA93,5,TabDPT,{},110.29080000983343,217.3939206229491,37.78727722167969,0.19074545091483608,0.1968087355295817
NASA93,6,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.9}",367.6599337498796,558.8488378370732,164.3950871276025,0.6367106034240595,0.8791181129818315
